Date,Close/Last,Volume,Open,High,Low
4/3/2020,$124.52 ,37347390,$125 ,$131.29 ,$122.50 
4/2/2020,$123.27 ,42372380,$128.51 ,$136.68 ,$120.02 
4/1/2020,$130.70 ,41899750,$138.91 ,$144.38 ,$130 
3/31/2020,$149.14 ,29954050,$155 ,$160.64 ,$149 
3/30/2020,$152.28 ,51052460,$153.81 ,$153.81 ,$140.68 
3/27/2020,$162 ,47880170,$172 ,$172.92 ,$155.54 
3/26/2020,$180.55 ,63504050,$172.29 ,$186.48 ,$167.18 
3/25/2020,$158.73 ,77825910,$154.90 ,$174.77 ,$141 
3/24/2020,$127.68 ,43683120,$123.68 ,$127.96 ,$116.13 
3/23/2020,$105.62 ,46140130,$98.75 ,$114.49 ,$93.56 
3/20/2020,$95.01 ,41370710,$99.85 ,$107 ,$94.28 
3/19/2020,$97.71 ,40210590,$98.80 ,$103.57 ,$90.35 
3/18/2020,$101.89 ,61943230,$99.86 ,$107.85 ,$89 
3/17/2020,$124.14 ,54492220,$132.51 ,$134.96 ,$101.25 
3/16/2020,$129.61 ,26844390,$149.42 ,$151 ,$128.76 
3/13/2020,$170.20 ,21168470,$174.97 ,$178.28 ,$161.38 
3/12/2020,$154.84 ,31734390,$160.53 ,$189.85 ,$154.81 
3/11/2020,$189.08 ,28571910,$222.99 ,$226.99 ,$187 
3/10/2020,$231.01 ,13059630,$237 ,$237.83 ,$215 
3/9/2020,$227.17 ,11585500,$238.00 ,$241.48 ,$224.37 
3/6/2020,$262.33 ,12861830,$253.70 ,$264.29 ,$249.80 
3/5/2020,$260.37 ,14669060,$275.79 ,$276.31 ,$259.65 
3/4/2020,$283.12 ,6986113,$284.55 ,$285.91 ,$277.01 
