Date,Close/Last,Volume,Open,High,Low
4/3/2020,$19.95 ,14226570,$19.74 ,$20.37 ,$19.74 
4/2/2020,$19.85 ,24917620,$19.10 ,$20.63 ,$18.97 
4/1/2020,$18.87 ,18073050,$18.41 ,$19.18 ,$18.26 
3/31/2020,$18.32 ,19304320,$18.86 ,$19.17 ,$18.27 
3/30/2020,$19.29 ,22511900,$19.20 ,$19.63 ,$18.78 
3/27/2020,$19.24 ,22450020,$19.10 ,$19.78 ,$18.96 
3/26/2020,$19.58 ,24264010,$19.54 ,$20.18 ,$18.71 
3/25/2020,$19.11 ,30961870,$19.18 ,$19.73 ,$18.42 
3/24/2020,$19.50 ,34579500,$18.78 ,$19.78 ,$18.13 
3/23/2020,$16.93 ,33801140,$16.40 ,$17.87 ,$16.37 
3/20/2020,$15.88 ,20170870,$16.66 ,$17 ,$15.54 
3/19/2020,$16.08 ,22990030,$15.53 ,$17.84 ,$14 
3/18/2020,$15.88 ,30257380,$17.08 ,$17.98 ,$15.45 
3/17/2020,$17.71 ,32058660,$16.21 ,$18.59 ,$16.13 
3/16/2020,$16.33 ,36620640,$13.21 ,$17.15 ,$12.65 
3/13/2020,$15.67 ,31110770,$17.45 ,$17.61 ,$15.06 
3/12/2020,$16.88 ,33552430,$16.97 ,$18 ,$15.47 
3/11/2020,$18.79 ,22071050,$19.53 ,$19.90 ,$18.51 
3/10/2020,$19.87 ,23015760,$20.05 ,$20.43 ,$19.09 
3/9/2020,$19.93 ,23635710,$20.51 ,$20.90 ,$19.90 
3/6/2020,$21.23 ,28052900,$21.52 ,$21.83 ,$20.42 
3/5/2020,$21.16 ,27916630,$20.88 ,$21.36 ,$20.63 
3/4/2020,$20.55 ,23388120,$21 ,$21.05 ,$20.16 
3/3/2020,$20.62 ,32518350,$20.18 ,$21.27 ,$19.70 
3/2/2020,$19.86 ,25295790,$19.42 ,$19.94 ,$19.14 
2/28/2020,$19.04 ,40589960,$18.35 ,$19.13 ,$18.03 
2/27/2020,$19.78 ,28277950,$21.38 ,$21.45 ,$19.68 
2/26/2020,$21.09 ,18561730,$21 ,$21.38 ,$20.89 
2/25/2020,$21.25 ,26511730,$21.70 ,$22.08 ,$21.24 
2/24/2020,$22.03 ,29354150,$22.50 ,$22.57 ,$21.73 
2/21/2020,$21.44 ,19956020,$21.45 ,$21.61 ,$21.17 
2/20/2020,$20.77 ,16593500,$20.94 ,$21.31 ,$20.72 
2/19/2020,$21 ,20183190,$20.81 ,$21.04 ,$20.40 
2/18/2020,$20.58 ,27971640,$19.85 ,$20.65 ,$19.75 
2/14/2020,$19.72 ,20194360,$19 ,$19.73 ,$18.93 
2/13/2020,$18.93 ,15270180,$18.58 ,$19.17 ,$18.55 
2/12/2020,$18.41 ,11832170,$18.51 ,$18.68 ,$18.20 
2/11/2020,$18.44 ,10384990,$18.37 ,$18.64 ,$18.26 
2/10/2020,$18.43 ,8165131,$18.26 ,$18.52 ,$18.16 
2/7/2020,$18.19 ,8733629,$18.45 ,$18.56 ,$18.08 
2/6/2020,$18.35 ,7471801,$18.12 ,$18.49 ,$18.05 
2/5/2020,$18.02 ,7388310,$18 ,$18.17 ,$17.96 
2/4/2020,$18.02 ,15579000,$18.01 ,$18.15 ,$17.63 
2/3/2020,$18.28 ,11759320,$18.37 ,$18.45 ,$18.09 
1/31/2020,$18.52 ,11002450,$18.48 ,$18.74 ,$18.42 
1/30/2020,$18.44 ,13839720,$18.42 ,$18.65 ,$18.25 
