Date,Close/Last,Volume,Open,High,Low
4/3/2020,$263.50 ,871762,$270.35 ,$274.33 ,$259.45 
4/2/2020,$272.99 ,1258781,$254.40 ,$273.84 ,$254.16 
4/1/2020,$256.46 ,1915349,$265.92 ,$270 ,$251.14 
3/31/2020,$273.12 ,1686195,$271.35 ,$276.06 ,$267.90 
3/30/2020,$276.23 ,1717447,$266.79 ,$277.32 ,$266.04 
3/27/2020,$269.05 ,1360713,$264.52 ,$270.49 ,$259.71 
3/26/2020,$274.42 ,1792240,$252.12 ,$276.62 ,$250.43 
3/25/2020,$248.32 ,1722537,$251.14 ,$259.21 ,$247.31 
3/24/2020,$254.18 ,1758766,$247.59 ,$255 ,$243.87 
3/23/2020,$237.76 ,2088263,$239.64 ,$250 ,$234.54 
3/20/2020,$242 ,3159461,$232.24 ,$252.95 ,$229 
3/19/2020,$224.80 ,1738491,$208.15 ,$229.80 ,$199 
3/18/2020,$209.20 ,1885672,$214.42 ,$224.99 ,$196.78 
3/17/2020,$225.76 ,1701179,$214.89 ,$232.47 ,$207.49 
3/16/2020,$211.02 ,1908262,$210.30 ,$228.54 ,$205.78 
3/13/2020,$233.33 ,2481026,$232.53 ,$235.50 ,$211.24 
3/12/2020,$223.28 ,2318761,$229.83 ,$235.60 ,$222.32 
3/11/2020,$246.01 ,1860301,$261.43 ,$263.93 ,$241.47 
3/10/2020,$268.15 ,1466584,$266.80 ,$270.69 ,$257.23 
3/9/2020,$259.80 ,1678603,$257.64 ,$268.38 ,$255.36 
3/6/2020,$274.42 ,1117741,$265.96 ,$275.82 ,$265.96 
3/5/2020,$276.02 ,1079826,$273.95 ,$280.02 ,$272.37 
3/4/2020,$282.13 ,956047,$276 ,$282.42 ,$273.10 
3/3/2020,$273 ,1353976,$277.40 ,$285.34 ,$270.72 
3/2/2020,$278.28 ,1768278,$268.02 ,$278.39 ,$265.35 
2/28/2020,$265.67 ,2678249,$253.74 ,$265.88 ,$252.43 
2/27/2020,$259.93 ,2319025,$268.49 ,$273.64 ,$258.97 
2/26/2020,$274.70 ,1423789,$271.96 ,$280.78 ,$271.05 
2/25/2020,$269.95 ,1605162,$282.65 ,$282.99 ,$269.04 
2/24/2020,$281.12 ,1444305,$288.34 ,$289.67 ,$279 
2/21/2020,$295.94 ,722473,$300 ,$301.43 ,$294.79 
2/20/2020,$300.46 ,698094,$304 ,$305.39 ,$297.73 
2/19/2020,$303.20 ,1338963,$301.68 ,$305.45 ,$300.50 
2/18/2020,$299.92 ,813898,$299 ,$300.07 ,$296.91 
2/14/2020,$298.92 ,1494467,$292.92 ,$300.07 ,$292.09 
2/13/2020,$291.38 ,2215412,$292.64 ,$293.62 ,$290.56 
2/12/2020,$293.28 ,1872066,$297.63 ,$298.29 ,$291.53 
2/11/2020,$296 ,3528533,$296.90 ,$298.74 ,$295.09 
