Date,Close/Last,Volume,Open,High,Low
4/3/2020,$151.85 ,11994680,$155.56 ,$157.72 ,$150.60 
4/2/2020,$157.39 ,14051130,$152.53 ,$158.35 ,$151.29 
4/1/2020,$153.11 ,12595200,$156.32 ,$158.07 ,$151.42 
3/31/2020,$161.12 ,20613130,$166.43 ,$168.19 ,$160.54 
3/30/2020,$165.57 ,15714500,$161.04 ,$165.87 ,$160.69 
3/27/2020,$161.56 ,14950750,$161.08 ,$167.10 ,$158.15 
3/26/2020,$168.88 ,17068960,$162.08 ,$169.53 ,$161.79 
3/25/2020,$161.78 ,20619630,$159.32 ,$168.18 ,$153.58 
3/24/2020,$154.53 ,24488280,$144.84 ,$155.25 ,$143.58 
3/23/2020,$135.74 ,30344070,$141.33 ,$143.35 ,$133.93 
3/20/2020,$146.83 ,18692080,$154.82 ,$158.26 ,$145.67 
3/19/2020,$152.25 ,19362800,$146.92 ,$157.25 ,$141.47 
3/18/2020,$148.48 ,22787470,$148.46 ,$150.68 ,$139.80 
3/17/2020,$157.89 ,22298000,$155.75 ,$163.70 ,$149.25 
3/16/2020,$152.01 ,23692020,$151.14 ,$165.31 ,$147.98 
3/13/2020,$175.83 ,19948860,$168.72 ,$176.32 ,$162.21 
3/12/2020,$160.08 ,27467750,$158.50 ,$172 ,$156.99 
3/11/2020,$172.95 ,14611850,$177.65 ,$178.73 ,$170.20 
3/10/2020,$182.60 ,16119420,$179.47 ,$182.61 ,$171.88 
3/9/2020,$171.13 ,20486360,$171.21 ,$179.57 ,$168.31 
3/6/2020,$184.36 ,15183150,$183.54 ,$185.99 ,$179.98 
3/5/2020,$186.96 ,10106880,$191.24 ,$191.92 ,$185.64 
3/4/2020,$194.29 ,10789150,$190.36 ,$194.49 ,$186.17 
3/3/2020,$185.73 ,15226400,$193.20 ,$194.04 ,$184.50 
3/2/2020,$192.33 ,17434490,$186.32 ,$192.44 ,$183.10 
2/28/2020,$181.76 ,22674740,$173.79 ,$182.33 ,$172.98 
2/27/2020,$180.01 ,17536600,$182.12 ,$186.34 ,$180 
2/26/2020,$187.21 ,14218220,$190 ,$193.51 ,$187.03 
2/25/2020,$188.40 ,18538950,$198.79 ,$199.89 ,$187.72 
2/24/2020,$198.79 ,13316770,$197.89 ,$203.77 ,$194.01 
2/21/2020,$208.81 ,9233229,$209.90 ,$210.22 ,$207.42 
2/20/2020,$211.45 ,8531862,$212.13 ,$213.69 ,$208.28 
2/19/2020,$213.31 ,5927543,$212.52 ,$214.17 ,$211.72 
2/18/2020,$211.20 ,7652915,$210 ,$211.50 ,$209.36 
2/14/2020,$210.29 ,6548804,$208.29 ,$210.78 ,$208.01 
2/13/2020,$207.40 ,9495314,$206.62 ,$208.47 ,$206.05 
2/12/2020,$207.44 ,7355774,$205 ,$208.15 ,$205 
2/11/2020,$203.94 ,10231890,$207.50 ,$207.67 ,$203.64 
2/10/2020,$205.99 ,6239519,$201.97 ,$206.13 ,$201.86 
2/7/2020,$202.74 ,5691149,$201.98 ,$203.83 ,$201.09 
2/6/2020,$203.04 ,7001184,$203.05 ,$204.63 ,$202.48 
2/5/2020,$202.81 ,8672418,$205.50 ,$205.60 ,$199.95 
2/4/2020,$203.56 ,10205900,$203.50 ,$204.92 ,$202.23 
2/3/2020,$200.81 ,10887870,$199.94 ,$202.26 ,$199.85 
1/31/2020,$198.97 ,16699570,$201.49 ,$203.98 ,$198.26 
1/30/2020,$208.21 ,8571872,$204 ,$208.50 ,$203.32 
1/29/2020,$204.86 ,7051852,$204.30 ,$205.92 ,$202.51 
1/28/2020,$202.85 ,7215696,$202.39 ,$203.84 ,$201.78 
1/27/2020,$201.69 ,7198865,$200 ,$203.33 ,$199.10 
1/24/2020,$205 ,7812898,$207.42 ,$207.99 ,$204.21 
